CUSTOMER_ID,FULL_NAME,EMAIL_ADDRESS,JOIN_DATE,LAST_DATE,RECENCY,CHURN,MONETARY,FREQUENCY,RFM_Score,Customer_segment,QUANTITY
17850.0,17850 ICONN Hack,17850@gmail.com,2010-12-01,2010-12-02,372,1.0,158.565,34,4.22,High value Customer,1733
13047.0,13047 ICONN Hack,13047@gmail.com,2010-12-01,2011-11-08,31,1.0,323.754,10,4.35,High value Customer,1391
12583.0,12583 ICONN Hack,12583@gmail.com,2010-12-01,2011-12-07,2,0.0,485.42533333333336,15,4.8,Top Customers,5060
13748.0,13748 ICONN Hack,13748@gmail.com,2010-12-01,2011-09-05,95,1.0,189.65,5,3.52,Medium Value Customer,439
15100.0,15100 ICONN Hack,15100@gmail.com,2010-12-01,2011-01-10,333,1.0,292.0,3,2.55,Low Value Customers,80
15291.0,15291 ICONN Hack,15291@gmail.com,2010-12-01,2011-11-14,25,0.0,311.22,15,4.58,Top Customers,2103
14688.0,14688 ICONN Hack,14688@gmail.com,2010-12-01,2011-12-02,7,0.0,268.13666666666666,21,4.83,Top Customers,3621
17809.0,17809 ICONN Hack,17809@gmail.com,2010-12-01,2011-11-23,16,0.0,450.9925,12,4.57,Top Customers,2057
15311.0,15311 ICONN Hack,15311@gmail.com,2010-12-01,2011-12-09,0,0.0,667.7791208791209,91,5.0,Top Customers,38194
16098.0,16098 ICONN Hack,16098@gmail.com,2010-12-01,2011-09-13,87,1.0,286.5185714285714,7,3.89,Medium Value Customer,613
18074.0,18074 ICONN Hack,18074@gmail.com,2010-12-01,2010-12-01,373,1.0,489.6,1,0.73,Lost Customers,190
17420.0,17420 ICONN Hack,17420@gmail.com,2010-12-01,2011-10-20,50,1.0,199.61,3,2.91,Low Value Customers,265
16029.0,16029 ICONN Hack,16029@gmail.com,2010-12-01,2011-11-01,38,1.0,1286.1085714285714,63,4.67,Top Customers,40208
16250.0,16250 ICONN Hack,16250@gmail.com,2010-12-01,2011-03-23,261,1.0,194.72,2,1.95,Low Value Customers,208
12431.0,12431 ICONN Hack,12431@gmail.com,2010-12-01,2011-11-04,35,1.0,432.49666666666667,15,4.52,Top Customers,2918
17511.0,17511 ICONN Hack,17511@gmail.com,2010-12-01,2011-12-07,2,0.0,2937.496129032258,31,4.93,Top Customers,64549
13705.0,13705 ICONN Hack,13705@gmail.com,2010-12-01,2011-12-02,7,0.0,237.28666666666666,3,3.2,Medium Value Customer,363
13747.0,13747 ICONN Hack,13747@gmail.com,2010-12-01,2010-12-01,373,1.0,79.6,1,0.73,Lost Customers,8
13408.0,13408 ICONN Hack,13408@gmail.com,2010-12-01,2011-12-08,1,0.0,453.5006451612903,62,4.98,Top Customers,16232
13767.0,13767 ICONN Hack,13767@gmail.com,2010-12-01,2011-12-07,2,0.0,465.41513513513513,37,4.95,Top Customers,7322
17924.0,17924 ICONN Hack,17924@gmail.com,2010-12-01,2011-11-28,11,0.0,423.2142857142857,7,4.25,High value Customer,1160
13448.0,13448 ICONN Hack,13448@gmail.com,2010-12-01,2011-11-23,16,0.0,589.895,6,4.06,High value Customer,1660
15862.0,15862 ICONN Hack,15862@gmail.com,2010-12-01,2011-12-01,8,0.0,208.22,4,3.62,Medium Value Customer,585
15513.0,15513 ICONN Hack,15513@gmail.com,2010-12-01,2011-11-06,33,1.0,776.7484210526316,19,4.59,Top Customers,5709
12791.0,12791 ICONN Hack,12791@gmail.com,2010-12-01,2010-12-01,373,1.0,192.6,1,0.73,Lost Customers,97
16218.0,16218 ICONN Hack,16218@gmail.com,2010-12-01,2011-11-10,29,0.0,440.6685714285714,7,4.11,High value Customer,2088
14045.0,14045 ICONN Hack,14045@gmail.com,2010-12-01,2011-08-22,109,1.0,414.9375,4,3.19,Medium Value Customer,535
14307.0,14307 ICONN Hack,14307@gmail.com,2010-12-01,2011-09-12,88,1.0,499.2866666666667,6,3.74,Medium Value Customer,2058
17908.0,17908 ICONN Hack,17908@gmail.com,2010-12-01,2010-12-01,373,1.0,243.28,1,0.73,Lost Customers,173
17920.0,17920 ICONN Hack,17920@gmail.com,2010-12-01,2011-12-05,4,0.0,247.3,17,4.8,Top Customers,2516
12838.0,12838 ICONN Hack,12838@gmail.com,2010-12-01,2011-11-06,33,1.0,341.56500000000005,2,2.32,Low Value Customers,359
13255.0,13255 ICONN Hack,13255@gmail.com,2010-12-01,2011-11-30,9,0.0,199.755,2,2.51,Low Value Customers,177
16583.0,16583 ICONN Hack,16583@gmail.com,2010-12-01,2010-12-01,373,1.0,233.45,1,0.73,Lost Customers,111
18085.0,18085 ICONN Hack,18085@gmail.com,2010-12-01,2011-01-13,330,1.0,344.975,2,1.9,Low Value Customers,265
13758.0,13758 ICONN Hack,13758@gmail.com,2010-12-01,2011-11-28,11,0.0,455.79285714285714,7,4.25,High value Customer,1844
13694.0,13694 ICONN Hack,13694@gmail.com,2010-12-01,2011-12-06,3,0.0,1300.7924,50,4.94,Top Customers,63312
15983.0,15983 ICONN Hack,15983@gmail.com,2010-12-01,2011-11-17,22,0.0,368.755,4,3.49,Medium Value Customer,892
